Feature name (optional)	Standard gene name (optional)	Chromosome (optional)	Start_coordinate (optional)	Stop_coordinate (optional)	Strand (optional)	Description (optional)	rep("Saccharomyces cerevisiae", nrow(inter))	paste0("https://www.yeastgenome.org/locus/", annotations_SC[,
YJR124C		10	654238	652892	C	Putative protein of unknown function; expression induced under calcium shortage	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003885
YJR125C	ENT3	10	655963	654737	C	Protein containing an N-terminal epsin-like domain; involved in clathrin recruitment and traffic between the Golgi and endosomes; associates with the clathrin adaptor Gga2p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003886
YJR126C	VPS70	10	658689	656254	C	Protein of unknown function involved in vacuolar protein sorting; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003887
YJR128W		10	662921	663280	W	Putative protein of unknown function; conserved among S. cerevisiae strains; partially overlaps the verified ORF RSF2	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003889
YJR127C	RSF2	10	663059	658917	C	Zinc-finger protein; involved in transcriptional control of both nuclear and mitochondrial genes, many of which specify products required for glycerol-based growth, respiration, and other functions; RSF2 has a paralog, TDA9, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasm upon DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003888
YJR129C	EFM3	10	665019	664000	C	S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which trimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 509; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; ortholog of human gene FAM86A	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003890
YJR130C	STR2	10	667137	665218	C	Cystathionine gamma-synthase, converts cysteine into cystathionine; STR2 has a paralog, YML082W, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003891
YJR131W	MNS1	10	667644	669293	W	Alpha-1,2-mannosidase; involved in ER-associated protein degradation (ERAD); catalyzes the removal of one mannose residue from a glycosylated protein, converting the modification from Man9GlcNAc to Man8GlcNAc; catalyzes the last step in glycoprotein maturation in the ER and is critical for ER protein degradation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003892
YJR132W	NMD5	10	669522	672668	W	Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003893
YJR133W	XPT1	10	672991	673620	W	Xanthine-guanine phosphoribosyl transferase; required for xanthine utilization and for optimal utilization of guanine	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003894
YJR134C	SGM1	10	675852	673729	C	Protein of unknown function; required for wild-type growth rate on galactose and mannose; localizes to COPI coated vesicles and the Golgi apparatus	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003895
YJR135C	MCM22	10	676778	676059	C	Outer kinetochore protein and component of the Ctf3 subcomplex; binds to centromeric DNA in a Ctf19p-dependent manner; involved in chromosome segregation and minichromosome maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-K and fission yeast sim4	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003896
YJR135W-A	TIM8	10	676971	677234	W	Mitochondrial intermembrane space protein; forms a complex with Tim13p that delivers a subset of hydrophobic proteins to the TIM22 complex for inner membrane insertion; homolog of human TIMM8A, implicated in Mohr-Tranebjaerg syndrome, also known as deafness-dystonia-optic neuronopathy (DDON) syndrome; human TIMM8A can complement yeast null mutant	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000007348
YJR136C	TTI2	10	678706	677441	C	Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; involved in the cellular stress response; similar to S. pombe Tti2p; may interact with Rsm23p; GFP-fusion protein localizes to the cytoplasm	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003897
YJR137C	MET5	10	683285	678957	C	Sulfite reductase beta subunit; involved in amino acid biosynthesis, transcription repressed by methionine	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003898
YJR138W	IML1	10	684567	689321	W	GTPase-activating protein (GAP) subunit of the Iml1p/SEACIT complex; SEACIT (Iml1p-Npr2p-Npr3p) is a subcomplex of the SEA complex, a coatomer-related complex that associates dynamically with the vacuole; Iml1p functions in the SEACIT complex as a GAP for the Rag family GTPase Gtr1p (EGOC subunit), resulting in the inhibition of TORC1 signaling in response to amino acid deprivation; the Iml1p/SEACIT complex is required for non-nitrogen-starvation (NNS)-induced autophagy	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003899
YJR139C	HOM6	10	690524	689445	C	Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase); dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003900
YJR140W-A		10	690961	691110	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene HIR3; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028666
YJR140C	HIR3	10	695696	690750	C	Subunit of the HIR complex; a nucleosome assembly complex involved in regulation of histone gene transcription; involved in position-dependent gene silencing and nucleosome reassembly; ortholog of human CABIN1 protein	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003901
YJR141W	IPA1	10	695906	696949	W	Essential protein of unknown function	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003902
YJR142W		10	697141	698169	W	8-oxo-dGTP diphosphatase of the Nudix hydrolase family; converts diphosphates of damaged forms of thiamin to monophosphates; GST fusion protein is a Dbf2p-Mob1p phosphorylation target in a proteome chip analysis; synthetic lethal with PH085 deletion; plays a role in restricting Ty1 transposition	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003903
YJR143C	PMT4	10	700614	698326	C	Protein O-mannosyltransferase; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; appears to form homodimers in vivo and does not complex with other Pmt proteins; target for new antifungals	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003904
YJR144W	MGM101	10	700882	701691	W	Protein with a role in mitochondrial DNA recombinational repair; also involved in interstrand cross-link repair; binds to and catalyzes the annealing of single-stranded mtDNA; oligomerizes to form rings and filaments; related to Rad52-type recombination proteins, with limited overall similarity but sharing conserved functionally important residues; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage and mitochondrial genome maintenance	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003905
YJR145C	RPS4A	10	703068	702027	C	Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003906
YJR146W		10	703885	704238	W	Protein of unknown function; expressed at both mRNA and protein levels; partially overlaps HMS2	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003907
YJR147W	HMS2	10	704196	705272	W	Protein with similarity to heat shock transcription factors; overexpression suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant; HMS2 has a paralog, SKN7, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003908
YJR148W	BAT2	10	705744	706874	W	Cytosolic branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA catabolism; homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase; BAT2 has a paralog, BAT1, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003909
YJR149W		10	707160	708374	W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003910
YJR150C	DAN1	10	709707	708811	C	Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003911
YJR151C	DAN4	10	715740	712255	C	Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003912
YJR151W-A		10	717580	717630	W	Putative protein of unknown function; identified by fungal homology and RT-PCR; predicted to have a role in transcription based on computational "guilt by association" analysis	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028557
YJR152W	DAL5	10	719666	721297	W	Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003913
YJR153W	PGU1	10	722815	723900	W	Endo-polygalacturonase; pectolytic enzyme that hydrolyzes the alpha-1,4-glycosidic bonds in the rhamnogalacturonan chains in pectins	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003914
YJR154W		10	725784	726824	W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003915
YJR155W	AAD10	10	727405	728271	W	Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003916
YJR156C	THI11	10	729596	728574	C	Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003917
YJR157W		10	730515	730877	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003918
YJR158W	HXT16	10	732440	734143	W	Putative transmembrane polyol transporter; supports growth on and uptake of sorbitol with moderate affinity and mannitol with lower affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is repressed by high levels of glucose	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003919
YJR159W	SOR1	10	736044	737117	W	Sorbitol dehydrogenase; protein sequence is 99% identical to the Sor2p sorbitol dehydrogenase; expression is induced in the presence of sorbitol or xylose	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003920
YJR160C	MPH3	10	739816	738008	C	Alpha-glucoside permease; transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph2p; encoded in a subtelomeric position in a region likely to have undergone duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003921
YJR161C	COS5	10	743999	742848	C	Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003922
YJR162C		10	745261	744911	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000003923
YKL225W		11	451	798	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001708
YKL224C	PAU16	11	2181	1810	C	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001707
YKL223W		11	2389	2721	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001706
YKL222C		11	5620	3503	C	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; similar to transcriptional regulators from the zinc cluster (binuclear cluster) family; null mutant is sensitive to caffeine	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001705
YKL221W	MCH2	11	6107	7528	W	Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001704
YKL220C	FRE2	11	11226	9091	C	Ferric reductase and cupric reductase; reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low iron levels but not by low copper levels	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001703
YKL219W	COS9	11	14485	15708	W	Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001702
YKL218C	SRY1	11	18339	17359	C	3-hydroxyaspartate dehydratase; deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required in the presence of hydroxyaspartate; highly similar to mouse serine racemase (Srr) but has no serine racemase activity	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001701
YKL217W	JEN1	11	22234	24084	W	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001700
YKL216W	URA1	11	25215	26159	W	Dihydroorotate dehydrogenase; catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001699
YKL215C	OXP1	11	30687	26827	C	5-oxoprolinase; enzyme is ATP-dependent and functions as a dimer; similar to mouse Oplah gene; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001698
YKL214C	YRA2	11	31693	31082	C	Member of the REF (RNA and export factor binding proteins) family; when overexpressed, can substitute for the function of Yra1p in export of poly(A)+ mRNA from the nucleus	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001697
YKL213C	DOA1	11	34107	31960	C	WD repeat protein required for ubiquitin-mediated protein degradation; ubiquitin binding cofactor that complexes with Cdc48p; required for ribophagy; controls cellular ubiquitin concentration; promotes efficient NHEJ in postdiauxic/stationary phase; facilitates N-terminus-dependent proteolysis of centromeric histone H3 (Cse4p) for faithful chromosome segregation; protein increases in abundance and relocalizes from nucleus to nuclear periphery upon DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001696
YKL212W	SAC1	11	34543	36414	W	Phosphatidylinositol phosphate (PtdInsP) phosphatase; involved in hydrolysis of PtdIns[4]P in the early and medial Golgi; regulated by interaction with Vps74p; ER localized transmembrane protein which cycles through the Golgi; involved in protein trafficking and processing, secretion, and cell wall maintenance; regulates sphingolipid biosynthesis through the modulation of PtdIns(4)P metabolism	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001695
YKL211C	TRP3	11	38153	36699	C	Indole-3-glycerol-phosphate synthase; forms bifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001694
YKL210W	UBA1	11	39163	42237	W	Ubiquitin activating enzyme (E1); involved in ubiquitin-mediated protein degradation and essential for viability; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001693
YKL209C	STE6	11	46295	42423	C	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001692
YKL208W	CBT1	11	47157	47972	W	Protein involved in 5' RNA end processing; substrates include mitochondrial COB, 15S_rRNA, and RPM1 transcripts; may also have a role in 3' end processing of the COB pre-mRNA; displays genetic interaction with cell cycle-regulated kinase Dbf2p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001691
YKL207W	EMC3	11	48194	48955	W	Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; required for respiratory growth; null mutant displays induction of the unfolded protein response; homologous to worm Y62E10A.10/EMC-3, fly CG6750, human TMEM111	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001690
YKL206C	ADD66	11	49809	49006	C	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; interaction with Pba1p-Add66p may affect function of the mature proteasome and its role in maintaining respiratory metabolism; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001689
YKL205W	LOS1	11	50051	53353	W	Nuclear pore protein; involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm; deletion mutation extends replicative lifespan, as does exclusion of Los1p from the nucleus in response to caloric restriction	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001688
YKL204W	EAP1	11	53704	55602	W	eIF4E-associated protein, competes with eIF4G for binding to eIF4E; accelerates mRNA degradation by promoting decapping, facilitated by interaction with eIF4E; essential for Puf5p mediated repression; associates with Puf5p and Dhh1p; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001687
YKL203C	TOR2	11	63359	55935	C	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that regulates growth in response to nutrients and TORC2, a complex that regulates cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis; TOR2 has a paralog, TOR1, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001686
YKL202W		11	63821	64402	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001685
YKL201C	MNN4	11	67466	63930	C	Putative positive regulator of mannosylphosphate transferase Mnn6p; involved in mannosylphosphorylation of N-linked oligosaccharides; expression increases in late-logarithmic and stationary growth phases; coding sequence contains length polymorphisms in different strains; MNN4 has a paralog, YJR061W, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001684
YKL198C	PTK1	11	70220	68232	C	Putative serine/threonine protein kinase; regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein; PTK1 has a paralog, PTK2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001681
YKL197C	PEX1	11	73865	70734	C	AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis; mutations in human PEX1 can lead to severe peroxisomal disorders and early death	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001680
YKL196C	YKT6	11	75534	74932	C	Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus; human homolog YKT6 can complement yeast ykt6 mutant	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001679
YKL195W	MIA40	11	75821	77032	W	Import and assembly protein in mitochondrial intermembrane space; component of MIA pathway which mediates import and oxidative folding of substrates including small proteins containing twin cysteine motifs; acts in concert with Erv1p, which oxidizes the cysteine residues of Mia40p to comprise a disulfide relay system that catalyzes import; also mediates folding of Atp23p via a chaperone-like activity; forms a dimer that binds iron-sulfur cluster in vitro	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001678
YKL194C	MST1	11	78646	77258	C	Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001677
YKL193C	SDS22	11	79882	78866	C	Regulatory subunit of the type 1 protein phosphatase (PP1) Glc7p; whether it functions as a positive or negative regulator of Glc7p is controversial; involved in the regulation of Glc7p nuclear localization and function	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001676
YKL192C	ACP1	11	80537	80160	C	Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001675
YKL191W	DPH2	11	81035	82639	W	Protein required for synthesis of diphthamide; required along with Dph1p, Kti11p, Jjj3p, and Dph5p; diphthamide is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); may act in a complex with Dph1p and Kti11p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001674
YKL190W	CNB1	11	82947	83550	W	Calcineurin B; regulatory subunit of calcineurin, a Ca++/calmodulin-regulated type 2B protein phosphatase which regulates Crz1p (stress-response transcription factor); other calcineurin subunit encoded by CNA1 and/or CMP1; regulates function of Aly1p alpha-arrestin; myristoylation by Nmt1p reduces calcineurin activity in response to submaximal Ca signals, is needed to prevent constitutive phosphatase activity; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001673
YKL189W	HYM1	11	84704	85903	W	Component of the RAM signaling network; is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with Kic1p and Sog2p, localizes to sites of polarized growth during budding and during the mating response	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001672
YKL188C	PXA2	11	88786	86225	C	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001671
YKL187C	FAT3	11	91536	89284	C	Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001670
YKL186C	MTR2	11	93298	92744	C	mRNA transport regulator; essential nuclear protein; Mex67p and Mtr2p form a mRNA export complex which binds to RNA	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001669
YKL185W	ASH1	11	94499	96265	W	Component of the Rpd3L histone deacetylase complex; zinc-finger inhibitor of HO transcription; mRNA is localized and translated in the distal tip of anaphase cells, resulting in accumulation of Ash1p in daughter cell nuclei and inhibition of HO expression; potential Cdc28p substrate	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001668
YKL184W	SPE1	11	96757	98157	W	Ornithine decarboxylase; catalyzes the first step in polyamine biosynthesis; degraded in a proteasome-dependent manner in the presence of excess polyamines; deletion decreases lifespan, and increases necrotic cell death and ROS generation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001667
YKL183C-A		11	98607	98395	C	Putative protein of unknown function; identified by fungal homology and RT-PCR	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028558
YKL183W	LOT5	11	98721	99641	W	Protein of unknown function; gene expression increases in cultures shifted to a lower temperature; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001666
YKL182W	FAS1	11	100671	106826	W	Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001665
YKL181W	PRS1	11	107316	108599	W	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001664
YKL180W	RPL17A	11	109269	110129	W	Ribosomal 60S subunit protein L17A; required for processing of 27SB pre-rRNA and formation of stable 66S assembly intermediates; copurifies with the Dam1 complex (aka DASH complex); homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17A has a paralog, RPL17B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001663
YKL179C	COY1	11	112503	110464	C	Golgi membrane protein with similarity to mammalian CASP; genetic interactions with GOS1 (encoding a Golgi snare protein) suggest a role in Golgi function	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001662
YKL177W		11	114356	114694	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001660
YKL178C	STE3	11	114627	113215	C	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001661
YKL176C	LST4	11	117986	115500	C	Subunit of the Lst4p-Lst7p GTPase activating protein complex for Gtr2p; stimulates the GTPase activity of Rag family GTPase Gtr2p, within the context of the Gtr1p-Gtr2p heterodimer, after amino acid stimulation; required for activation of TORC1 in response to amino acid stimulation; recruited to the vacuolar membrane during amino acid starvation and released from the membrane by TORC1; required for the transport of amino acid permease Gap1p from the Golgi to the cell surface	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001659
YKL175W	ZRT3	11	118793	120304	W	Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001658
YKL174C	TPO5	11	122236	120380	C	Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001657
YKL173W	SNU114	11	122517	125543	W	GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001656
