Feature_name	Primary_SGDID	Feature_type	Feature_qualifier	Alias	Parent_feature_name	Secondary_SGDID	Genetic_position	Coordinate_version	Sequence_version	Description
YML122C	S000004591	ORF	Uncharacterized		chromosome 13		NA	2011-02-03	1996-07-31	Putative protein of unknown function; conserved among S. cerevisiae strains; YML122C is not an essential gene
YML121W	S000004590	ORF	Verified	Rag GTPase GTR1	chromosome 13	L000000742	-99.6	1996-07-31	1996-07-31	Subunit of a TORC1-stimulating GTPase complex; subunit of the heterodimeric Gtr1-Gtr2 GTPase complex that stimulates TORC1 in response to amino acid stimulation; tethered to the vacuolar membrane as part of the EGOC, a complex required for sorting of Gap1p and microautophagy; involved in phosphate transport and telomeric chromatin silencing; activated by the the Iml1p (GAP) subunit of the SEACIT complex; similar to human RagA and RagB
YML120C	S000004589	ORF	Verified	NADH-ubiquinone reductase (H(+)-translocating) NDI1	chromosome 13	L000001239	NA	1996-07-31	1996-07-31	NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy
YML119W	S000004588	ORF	Uncharacterized		chromosome 13		NA	1996-07-31	1996-07-31	Putative protein of unknown function; YML119W is not an essential gene; potential Cdc28p substrate
YML118W	S000004587	ORF	Verified	3'-5' poly(A) RNA exonuclease	chromosome 13		NA	1996-07-31	1996-07-31	3'-5' exonuclease specific for poly-A RNAs; has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; similar to Ngl1p; NGL3 has a paralog, NGL2, that arose from the whole genome duplication
YML117W	S000004585	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Putative RNA-binding protein; associates with mRNAs encoding cell wall proteins in high-throughput studies; deletion mutants display increased sensitivity to some cell wall disrupting agents; expression negatively regulated by cAMP
YML116W-A	S000004586	ORF	Dubious	YML117W-A	chromosome 13		NA	1996-07-31	1996-07-31	Putative protein of unknown function
YML116W	S000004584	ORF	Verified	borate transporter|SNQ1	chromosome 13	L000001956|L000002831	NA	1996-07-31	1996-07-31	Multidrug efflux pump of the major facilitator superfamily; required for resistance to aminotriazole and 4-nitroquinoline-N-oxide; ATR1 has a paralog, YMR279C, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress
YML115C	S000004583	ORF	Verified	LDB13|VRG8|VRG7	chromosome 13	L000002453	38	1996-07-31	1996-07-31	Component of the mannan polymerase I; complex contains Van1p and Mnn9p and is involved in the first steps of mannan synthesis; mutants are vanadate-resistant
YML114C	S000004582	ORF	Verified	TafII65|TAF65	chromosome 13		NA	1996-07-31	1996-07-31	TFIID subunit (65 kDa); involved in RNA polymerase II transcription initiation
YML113W	S000004581	ORF	Verified		chromosome 13	L000000485	NA	1996-07-31	1996-07-31	DNA binding protein that recognizes oligo(dA).oligo(dT) tracts; Arg side chain in its N-terminal pentad Gly-Arg-Lys-Pro-Gly repeat is required for DNA-binding; relocalizes to the cytosol in response to hypoxia; not essential for viability
YML112W	S000004580	ORF	Verified		chromosome 13	L000003012	NA	1996-07-31	1996-07-31	Gamma subunit of C-terminal domain kinase I; CTDK-I phosphorylates RNA polymerase II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and also phosphorylates ribosomal protein Rps2p to increase translational fidelity; protein abundance increases in response to DNA replication stress
YML111W	S000004579	ORF	Verified	ubiquitin-ubiquitin ligase BUL2	chromosome 13	L000004755	NA	1996-07-31	1996-07-31	Component of the Rsp5p E3-ubiquitin ligase complex; involved in intracellular amino acid permease sorting, functions in heat shock element mediated gene expression, essential for growth in stress conditions; BUL2 has a paralog, BUL1, that arose from the whole genome duplication
YML110C	S000004578	ORF	Verified	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase|DBI56	chromosome 13	L000003398	NA	1996-07-31	1996-07-31	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; respiratory defect of the null mutant is partially complemented by human COQ5
YML109W	S000004577	ORF	Verified	CES4	chromosome 13	L000003287	NA	1996-07-31	1996-07-31	Protein with a role in regulating Swe1p-dependent polarized growth; involved in maintenance of Cdc55p in the cytoplasm where it promotes mitotic entry; interacts with silencing proteins at the telomere; implicated in the mitotic exit network through regulation of Cdc14p localization; ZDS2 has a paralog, ZDS1, that arose from the whole genome duplication
YML108W	S000004576	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Protein of unknown function; structure defines a new subfamily of the split beta-alpha-beta sandwiches; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YML108W is not an essential gene; relative distribution to the nucleus increases upon DNA replication stress
YML107C	S000004575	ORF	Verified		chromosome 13		NA	2003-09-22	2003-09-22|1996-07-31	Protein required for nuclear retention of unspliced pre-mRNAs; required along with Mlp1p and Pml1p; anchored to nuclear pore complex via Mlp1p and Mlp2p; found with the subset of nuclear pores farthest from the nucleolus; may interact with ribosomes
YML106W	S000004574	ORF	Verified	orotate phosphoribosyltransferase URA5|PYR5	chromosome 13	L000002434	NA	1996-07-31	1996-07-31	Major orotate phosphoribosyltransferase (OPRTase) isozyme; catalyzes the fifth enzymatic step in de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; URA5 has a paralog, URA10, that arose from the whole genome duplication
YML105C	S000004573	ORF	Verified	RNA-binding signal recognition particle subunit SEC65	chromosome 13	L000001855	NA	1996-07-31	1996-07-31	Subunit of the signal recognition particle (SRP); involved in protein targeting to the ER; interacts with Srp54p; homolog of mammalian SRP19
YML104C	S000004572	ORF	Verified		chromosome 13	L000001051	NA	1996-07-31	1996-07-31	PtdIns-3-P binding protein that tethers the ER to vacuoles at NVJs; anchored in the ER membrane at nucleus-vacuole junctions and binds phosphatidylinositol 3-phosphate (PtdIns-3-P) in the vacuolar membrane via its Phox homology (PX) domain; expressed predominantly in late G1 to early S phase of the cell cycle; mutation affects nuclear and mitochondrial transmission to daughter buds; similar to 4 human genes, one of which (SNX14) is associated with neurological disease
YML103C	S000004571	ORF	Verified		chromosome 13	L000003099	NA	1996-07-31	1996-07-31	Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188
YML102W	S000004570	ORF	Verified		chromosome 13	L000003389	NA	1996-07-31	1996-07-31	Subunit of chromatin assembly factor I (CAF-1), with Rlf2p and Msi1p; chromatin assembly by CAF-1 is important for multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure, deactivation of the DNA damage checkpoint after DNA repair, chromatin dynamics during transcription; and repression of divergent transcription; relocalizes to the cytosol in response to hypoxia
YML101C-A	S000004569	ORF	Dubious	YML102C-A	chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YML101C	S000004568	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; CUE4 has a paralog, CUE1, that arose from the whole genome duplication
YML100W-A	S000028688	ORF	Uncharacterized		chromosome 13		NA	2003-07-29	2003-07-29	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YML100W	S000004566	ORF	Verified	trehalose 6-phosphate synthase/phosphatase complex subunit	chromosome 13	L000002361	NA	1996-07-31	1996-07-31	Large subunit of trehalose 6-phosphate synthase/phosphatase complex; Tps1p-Tps2p complex converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose; contributes to survival to acute lethal heat stress; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress; TSL1 has a paralog, TPS3, that arose from the whole genome duplication
YML099W-A	S000004567	ORF	Dubious	YML100W-A	chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF ARG81/YML099C
YML099C	S000004565	ORF	Verified	ARGRII|ARGR2	chromosome 13	L000000114|L000000113	-63	1996-07-31	1996-07-31	Zinc finger transcription factor involved in arginine-responsive genes; Zn(2)-Cys(6) binuclear cluster domain type; involved in the regulation of arginine-responsive genes; acts with Arg80p and Arg82p
YML098W	S000004564	ORF	Verified	TafII19|TAF19|FUN81	chromosome 13	L000000650	-63	1996-07-31	1996-07-31	TFIID subunit (19 kDa); involved in RNA polymerase II transcription initiation, similar to histone H4 with atypical histone fold motif of Spt3-like transcription factors
YML097C	S000004563	ORF	Verified	guanine nucleotide exchange factor VPS9|VPT9|VPL31	chromosome 13	L000002659	NA	1996-07-31	1996-07-31	Guanine nucleotide exchange factor (GEF) and ubiquitin receptor; involved in vesicle-mediated vacuolar transport, including Golgi-endosome trafficking and sorting through the multivesicular body (MVB); stimulates the intrinsic guanine nucleotide exchange activity of Rab family members (Vps21p/Ypt52p/Ypt53p); partially redundant with GEF MUK1; required for localization of the CORVET complex to endosomes; similar to mammalian ras inhibitors; contains a Ub-interacting CUE domain
YML096W	S000004562	ORF	Uncharacterized	putative asparagine synthase	chromosome 13		NA	1996-07-31	1996-07-31	Putative protein with similarity to asparagine synthetases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YML096W is not an essential gene and partially overlaps the verified gene RAD10
YML095C	S000004560	ORF	Verified		chromosome 13	L000001563	48	1996-07-31	1996-07-31	Single-stranded DNA endonuclease (with Rad1p); cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human ERCC1 protein
YML094W	S000004559	ORF	Verified	PFD5	chromosome 13	L000004370	NA	1996-07-31	1996-07-31	Subunit of the heterohexameric cochaperone prefoldin complex; prefoldin binds specifically to cytosolic chaperonin and transfers target proteins to it; prefoldin complex also localizes to chromatin of actively transcribed genes in the nucleus and facilitates transcriptional elongation
YML094C-A	S000004561	ORF	Dubious	YML095C-A	chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene GIM5/YML094W; deletion confers sensitivity to GSAO
YML093W	S000004558	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit
YML092C	S000004557	ORF	Verified	proteasome core particle subunit alpha 2	chromosome 13	L000002700	NA	1996-07-31	1996-07-31	Alpha 2 subunit of the 20S proteasome
YML091C	S000004556	ORF	Verified	ribonuclease P	chromosome 13	L000001743	NA	1996-07-31	1996-07-31	Protein subunit of mitochondrial RNase P; has roles in nuclear transcription, cytoplasmic and mitochondrial RNA processing, and mitochondrial translation; distributed to mitochondria, cytoplasmic processing bodies, and the nucleus
YML090W	S000004555	ORF	Dubious		chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YML089C; exhibits growth defect on a non-fermentable (respiratory) carbon source
YML089C	S000004554	ORF	Dubious		chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; expression induced by calcium shortage
YML088W	S000004553	ORF	Verified	SCF ubiquitin ligase complex subunit UFO1	chromosome 13		NA	1996-07-31	1996-07-31	F-box receptor protein; subunit of the Skp1-Cdc53-F-box receptor (SCF) E3 ubiquitin ligase complex; binds to phosphorylated Ho endonuclease, allowing its ubiquitination by SCF and subsequent degradation
YML087C	S000004552	ORF	Verified	cytochrome-b5 reductase	chromosome 13		NA	1996-07-31	1996-07-31	Protein of unknown function, highly conserved across species; homolog of human CYB5R4; null mutant displays reduced frequency of mitochondrial genome loss; AIM33 has a paralog, PGA3, that arose from the whole genome duplication
YML086C	S000004551	ORF	Verified	D-arabinono-1,4-lactone oxidase	chromosome 13	L000004264	NA	1996-07-31	1996-07-31	D-Arabinono-1,4-lactone oxidase; catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress
YML085C	S000004550	ORF	Verified	alpha-tubulin TUB1	chromosome 13	L000002387	-62	1996-07-31	1996-07-31	Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog, TUB3, that arose from the whole genome duplication
YML084W	S000004549	ORF	Dubious		chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YML083C	S000004548	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Protein of unknown function; transcriptionally regulated by Upc2p via an upstream sterol response element; strong increase in transcript abundance during anaerobic growth compared to aerobic growth; cells deleted for YML083C do not exhibit growth defects in anerobic or anaerobic conditions
YML082W	S000004547	ORF	Uncharacterized	putative cystathionine gamma-synthase	chromosome 13		NA	1996-07-31	1996-07-31	Putative protein predicted to have carbon-sulfur lyase activity; transcriptionally regulated by Upc2p via an upstream sterol response element; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and the cytoplasm; not an essential gene; YML082W has a paralog, STR2, that arose from the whole genome duplication
YML081C-A	S000007247	ORF	Verified	F1F0 ATP synthase subunit i	chromosome 13	L000004548	NA	1997-07-17	1997-07-17	Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms
YML081W	S000004546	ORF	Verified	AAF1	chromosome 13		NA	1996-07-31	1996-07-31	Transcription factor that regulates acetate production; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene; TDA9 has a paralog, RSF2, that arose from the whole genome duplication
YML080W	S000004545	ORF	Verified	tRNA dihydrouridine synthase	chromosome 13		NA	1996-07-31	1996-07-31	Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus3p, and Dus4p; modifies pre-tRNA(Phe) at U17
YML079W	S000004544	ORF	Uncharacterized		chromosome 13		NA	1996-07-31	1996-07-31	Non-essential protein of unknown function; has structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin binding protein) and to some enzymes (epimerase, germin); localizes to the nucleus and cytoplasm
YML078W	S000004543	ORF	Verified	peptidylprolyl isomerase CPR3|CYP3	chromosome 13	L000000464|L000000402	NA	1996-07-31	1996-07-31	Mitochondrial peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; involved in protein refolding after import into mitochondria
YML077W	S000004542	ORF	Verified	TRAPP subunit BET5	chromosome 13	L000004608	NA	1996-07-31	1996-07-31	Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factors for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); human homology TRAPPC1 complements yeast null mutant
YML076C	S000004541	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Homodimeric Zn2Cys6 zinc finger transcription factor; binds to a weak acid response element to induce transcription of PDR12 and FUN34, encoding an acid transporter and a putative ammonia transporter, respectively
YML075C	S000004540	ORF	Verified	hydroxymethylglutaryl-CoA reductase (NADPH) HMG1	chromosome 13	L000000789	-50	1996-07-31	1996-07-31	HMG-CoA reductase; catalyzes conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; one of two isozymes; localizes to nuclear envelope; overproduction induces formation of karmellae; forms foci at nuclear periphery upon DNA replication stress; HMG1 has a paralog, HMG2, that arose from the whole genome duplication; human homolog HMGCR can complement yeast hmg1 mutant
YML074C	S000004539	ORF	Verified	peptidylprolyl isomerase FPR3|NPI46	chromosome 13	L000001268	NA	1996-07-31	1996-07-31	Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; affects expression of multiple genes via its role in nucleosome assembly; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p; PPIase domain acts as a transcriptional repressor when tethered to DNA by lexA, and repressor activity is dependent on PPIase activity; FPR3 has a paralog, FPR4, that arose from the whole genome duplication
YML073C	S000004538	ORF	Verified	eL6|ribosomal 60S subunit protein L6A|L6e|rp18|YL16|L6A|L17A|YL16A	chromosome 13	L000004165	NA	1996-07-31	1996-07-31	Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6A has a paralog, RPL6B, that arose from the whole genome duplication
YML072C	S000004537	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; localized to the bud via specific mRNA transport; non-tagged protein detected in a phosphorylated state in mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact
YML071C	S000004536	ORF	Verified	Golgi transport complex subunit COG8|DOR1	chromosome 13		NA	1996-07-31	1996-07-31	Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments
YML070W	S000004535	ORF	Verified	dihydroxyacetone kinase	chromosome 13	L000004203	NA	1996-07-31	1996-07-31	Dihydroxyacetone kinase; required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation
YML069W	S000004534	ORF	Verified	FACT complex subunit POB3	chromosome 13	L000003326	NA	1996-07-31	1996-07-31	Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; protein abundance increases in response to DNA replication stress
YML068W	S000004533	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Protein that modulates the efficiency of translation termination; interacts with translation release factors eRF1 (Sup45p) and eRF3 (Sup35p) in vitro, contains a zinc finger domain characteristic of the TRIAD class of proteins
YML067C	S000004532	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Protein localized to COPII-coated vesicles; forms a complex with Erv46p; involved in the membrane fusion stage of transport; has homology to human ERGIC2 (PTX1) protein
YML066C	S000004531	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Meiosis-specific prospore membrane protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation
YML065W	S000004530	ORF	Verified	origin recognition complex subunit 1	chromosome 13	L000003162	NA	1996-07-31	1996-07-31	Largest subunit of the origin recognition complex; involved in directing DNA replication by binding to replication origins; also involved in transcriptional silencing; exhibits ATPase activity; ORC1 has a paralog, SIR3, that arose from the whole genome duplication
YML064C	S000004529	ORF	Verified	Ras family GTPase TEM1	chromosome 13	L000002282	NA	1996-07-31	1996-07-31	GTP-binding protein of the Ras superfamily; involved in termination of M-phase; controls actomyosin and septin dynamics during cytokinesis
YML063W	S000004528	ORF	Verified	eS1|ribosomal 40S subunit protein S1B|S1e|rp10B|S1B|RP10B|PLC2	chromosome 13	L000001665	NA	1996-07-31	1996-07-31	Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1B has a paralog, RPS1A, that arose from the whole genome duplication
YML062C	S000004527	ORF	Verified	MFT52	chromosome 13	L000001099	NA	1996-07-31	1996-07-31	Subunit of the THO complex; THO is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance
YML061C	S000004526	ORF	Verified	DNA helicase PIF1|TST1	chromosome 13	L000001435	NA	1996-07-31	1996-07-31	DNA helicase, potent G-quadruplex DNA binder/unwinder; possesses strand annealing activity; promotes DNA synthesis during break-induced replication; important for crossover recombination; translation from different start sites produces mitochondrial and nuclear forms; nuclear form is a catalytic inhibitor of telomerase; mitochondrial form involved in DNA repair and recombination; mutations affect Zn, Fe homeostasis; regulated by Rad53p-dependent phosphorylation in rho0 cells
YML060W	S000004525	ORF	Verified	8-oxoguanine glycosylase OGG1	chromosome 13	L000003339	NA	1996-07-31	1996-07-31	Nuclear and mitochondrial glycosylase/lyase; specifically excises 7,8-dihydro-8-oxoguanine residues located opposite cytosine or thymine residues in DNA, repairs oxidative damage to mitochondrial DNA, contributes to UVA resistance
YML059C	S000004524	ORF	Verified	lysophospholipase	chromosome 13		NA	1996-07-31	1996-07-31	Serine esterase; homolog of human neuropathy target esterase (NTE); Nte1p-mediated phosphatidylcholine turnover influences transcription factor Opi1p localization, affecting transcriptional regulation of phospholipid biosynthesis genes
YML058W-A	S000007472	ORF	Verified		chromosome 13	L000004561	NA	1998-11-10	1998-11-10	Ribonucleotide reductase inhibitor; intrinsically disordered protein that binds to and inhibits Rnr2p; involved in the Mec1p-mediated checkpoint pathway; transcription is induced by genotoxic stress and by activation of the Rad53p pathway; protein abundance increases in response to DNA replication stress
YML058W	S000004523	ORF	Verified	ribonucleotide reductase inhibiting protein SML1	chromosome 13	L000004580	NA	1996-07-31	1996-07-31	Ribonucleotide reductase inhibitor; involved in regulating dNTP production; regulated by Mec1p and Rad53p during DNA damage and S phase; SML1 has a paralog, DIF1, that arose from the whole genome duplication
YML057W	S000004521	ORF	Verified	calcineurin catalytic subunit A|CNA2	chromosome 13	L000000368	NA	1996-07-31	1996-07-31	Calcineurin A; one isoform (the other is Cna1p) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1; regulates the function of Aly1p alpha-arrestin; CMP2 has a paralog, CNA1, that arose from the whole genome duplication
YML057C-A	S000004522	ORF	Dubious	YML058C-A	chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene CMP2/YML057W
YML056C	S000004520	ORF	Verified	IMP dehydrogenase IMD4	chromosome 13		NA	1996-07-31	1996-07-31	Inosine monophosphate dehydrogenase; catalyzes the rate-limiting step in the de novo synthesis of GTP; member of a four-gene family in S. cerevisiae, constitutively expressed; IMD4 has a paralog, IMD3, that arose from the whole genome duplication
YML055W	S000004519	ORF	Verified	signal peptidase complex subunit SPC2|SPY1	chromosome 13	L000002874	NA	1996-07-31	1996-07-31	Subunit of signal peptidase complex; complex catalyzes cleavage of N-terminal signal sequences of proteins targeted to the secretory pathway; homologous to mammalian SPC25; other members of the complex are Spc1p, Spc1p, and Sec11p
YML054C	S000004518	ORF	Verified	FCB2	chromosome 13	L000000447	-30	1996-07-31	1996-07-31	Cytochrome b2 (L-lactate cytochrome-c oxidoreductase); component of the mitochondrial intermembrane space, required for lactate utilization; expression is repressed by glucose and anaerobic conditions
YML054C-A	S000028573	ORF	Uncharacterized		chromosome 13		NA	2003-07-29	2003-07-29	Putative protein of unknown function
YML053C	S000004517	ORF	Uncharacterized		chromosome 13		NA	1996-07-31	1996-07-31	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; overexpression causes a cell cycle delay or arrest; YML053C is not an essential gene
YML052W	S000004516	ORF	Verified		chromosome 13	L000004152	NA	1996-07-31	1996-07-31	Plasma membrane protein, component of eisosomes; long-lived protein that remains stable in eisosomes of mother cells while other eisosome proteins, Pil1p and Lsp1p, turn over; may function to anchor the eisosome in place; sporulation and plasma membrane sphingolipid content are altered in mutants; localizes to furrow-like invaginations (MCC patches)
YML051W	S000004515	ORF	Verified	transcription regulator GAL80	chromosome 13	L000000665	-33	1996-07-31	1996-07-31	Transcriptional regulator involved in the repression of GAL genes; involved in the repression of GAL genes in the absence of galactose; inhibits transcriptional activation by Gal4p; inhibition relieved by Gal3p or Gal1p binding
YML050W	S000004514	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss
YML049C	S000004513	ORF	Verified	U2 snRNP complex subunit RSE1	chromosome 13	L000004030	NA	1996-07-31	1996-07-31	Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport
YML048W	S000004511	ORF	Verified	ECM6	chromosome 13	L000003209	NA	1996-07-31	1996-07-31	Endoplasmic reticulum (ER) localized integral membrane protein; may promote secretion of certain hexose transporters, including Gal2p; involved in glucose-dependent repression
YML047W-A	S000004512	ORF	Dubious	YML048W-A	chromosome 13		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps ORF PRM6/YML047C
YML047C	S000004510	ORF	Verified	pheromone-regulated K(+) transporter PRM6|KCH2	chromosome 13		NA	1996-07-31	1996-07-31	Potassium transporter that mediates K+ influx; activates high-affinity Ca2+ influx system (HACS) during mating pheromone response; expression up-regulated in response to alpha factor; regulated by Ste12p during mating; localized to sites of polarized growth; member of a fungal-specific gene family; PRM6 has a paralog, KCH1, that arose from the whole genome duplication
YML046W	S000004509	ORF	Verified		chromosome 13	L000001511	NA	1996-07-31	1996-07-31	U1 snRNP protein involved in splicing; contains multiple tetriatricopeptide repeats
YML043C	S000004507	ORF	Verified		chromosome 13	L000004133	NA	1996-07-31	1996-07-31	Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p
YML042W	S000004506	ORF	Verified	carnitine O-acetyltransferase CAT2|YCAT	chromosome 13	L000000218	NA	1996-07-31	1996-07-31	Carnitine acetyl-CoA transferase; present in both mitochondria and peroxisomes; transfers activated acetyl groups to carnitine to form acetylcarnitine which can be shuttled across membranes
YML041C	S000004505	ORF	Verified	SWC6	chromosome 13		NA	1996-07-31	1996-07-31	Nucleosome-binding component of the SWR1 complex; SWR1 exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting
YML038C	S000004502	ORF	Verified		chromosome 13		NA	1996-07-31	1996-07-31	Putative nucleotide sugar transporter; has similarity to Vrg4p
YML037C	S000004501	ORF	Uncharacterized		chromosome 13		NA	1996-07-31	1996-07-31	Putative protein of unknown function; has some characteristics of a transcriptional activator; may be a target of Dbf2p-Mob1p kinase; GFP-fusion protein co-localizes with clathrin-coated vesicles; YML037C is not an essential gene
YML036W	S000004500	ORF	Verified		chromosome 13		NA	2007-07-10	1996-07-31|2007-07-10	Component of the EKC/KEOPS complex; EKC/KEOPS complex is required for t6A tRNA modification and telomeric TG1-3 recombination; may have role in transcription; Cgi121p is dispensable for tRNA modification; other complex members are Bud32p, Kae1p, Pcc1p, and Gon7p
YML035C	S000004498	ORF	Verified	AMP deaminase|AMD3	chromosome 13	L000000082|L000002678	NA	1996-07-31	1996-07-31	AMP deaminase; tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia; thought to be involved in regulation of intracellular purine (adenine, guanine, and inosine) nucleotide pools
