Feature name (mandatory)	Gene name (locus name)	Chromosome	Start Coordinate	Stop Coordinate	Strand	Description	rep("Candida glabrata", nrow(inter))	paste0("http://www.candidagenome.org/cgi-bin/locus.pl?dbid=", 
C2_01010W_B	HGT8	Ca22chr2B_C_albicans_SC5314	167286	168908	W	High-affinity glucose transporter of the major facilitator superfamily; 20 members in the C. albicans glucose transporter family; 12 probable membrane-spanning segments; gene has intron; expressed in rich medium; flow model biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181969
C2_01020W_A	HGT6	Ca22chr2A_C_albicans_SC5314	170189	171841	W	Putative high-affinity MFS glucose transporter; 20 family members; induced in core stress response; fluconazole, oralpharyngeal candidasis induced; flow model biofilm induced; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181092
C2_01020W_B	HGT6	Ca22chr2B_C_albicans_SC5314	170182	171834	W	Putative high-affinity MFS glucose transporter; 20 family members; induced in core stress response; fluconazole, oralpharyngeal candidasis induced; flow model biofilm induced; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196163
C2_01030W_A		Ca22chr2A_C_albicans_SC5314	172317	172958	W	Ortholog(s) have structural constituent of ribosome activity, role in mitochondrial translation and mitochondrial large ribosomal subunit localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000192561
C2_01030W_B		Ca22chr2B_C_albicans_SC5314	172310	172951	W	Ortholog(s) have structural constituent of ribosome activity, role in mitochondrial translation and mitochondrial large ribosomal subunit localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186075
C2_01040W_A		Ca22chr2A_C_albicans_SC5314	173128	173500	W	PProtein of unknown function; gene has intron; similar to human BLOC1S2	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000177827
C2_01040W_B		Ca22chr2B_C_albicans_SC5314	173120	173492	W	PProtein of unknown function; gene has intron; similar to human BLOC1S2	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198479
C2_01050W_A		Ca22chr2A_C_albicans_SC5314	173661	173918	W	Ortholog of Candida tropicalis MYA-3404 : CTRG_04298	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196908
C2_01050W_B		Ca22chr2B_C_albicans_SC5314	173653	173910	W	Ortholog of Candida tropicalis MYA-3404 : CTRG_04298	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184017
C2_01060C_A		Ca22chr2A_C_albicans_SC5314	174374	173925	C	Protein with a predicted DnaJ chaperone domain and a CSL-type zinc finger; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175524
C2_01060C_B		Ca22chr2B_C_albicans_SC5314	174366	173917	C	Protein with a predicted DnaJ chaperone domain and a CSL-type zinc finger; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185889
C2_01070W_A		Ca22chr2A_C_albicans_SC5314	174572	175753	W	Ortholog(s) have RNA polymerase I activity, role in nucleolar large rRNA transcription by RNA polymerase I, transcription elongation from RNA polymerase I promoter and RNA polymerase I complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186371
C2_01070W_B		Ca22chr2B_C_albicans_SC5314	174564	175745	W	Ortholog(s) have RNA polymerase I activity, role in nucleolar large rRNA transcription by RNA polymerase I, transcription elongation from RNA polymerase I promoter and RNA polymerase I complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000199241
C2_01080C_A	tL(CAA)2	Ca22chr2A_C_albicans_SC5314	176014	175896	C	tRNA-Leu, predicted by tRNAscan-SE; CAA anticodon	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000176040
C2_01080C_B	tL(CAA)2	Ca22chr2B_C_albicans_SC5314	176007	175889	C	tRNA-Leu, predicted by tRNAscan-SE; CAA anticodon	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000191956
C2_01090C_A	ERG28	Ca22chr2A_C_albicans_SC5314	176908	176492	C	Ortholog(s) have protein binding, bridging activity, role in demethylation, ergosterol biosynthetic process and endoplasmic reticulum membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184284
C2_01090C_B	ERG28	Ca22chr2B_C_albicans_SC5314	176901	176485	C	Ortholog(s) have protein binding, bridging activity, role in demethylation, ergosterol biosynthetic process and endoplasmic reticulum membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000200834
C2_01100C_A		Ca22chr2A_C_albicans_SC5314	177321	177044	C	Long terminal repeat (LTR); about 282 bp long, 11 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000191652
C2_01100C_B		Ca22chr2B_C_albicans_SC5314	177315	177038	C	Long terminal repeat (LTR); about 282 bp long, 11 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000179225
C2_01110C_A	BCY1	Ca22chr2A_C_albicans_SC5314	179666	178287	C	Protein kinase A regulatory subunit; involved in regulation of filamentation, phenotypic switching and mating; required for nuclear localization of Tpk1; physically interacts with Tpk1; apoptosis-regulated	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000190895
C2_01110C_B	BCY1	Ca22chr2B_C_albicans_SC5314	179657	178281	C	Protein kinase A regulatory subunit; involved in regulation of filamentation, phenotypic switching and mating; required for nuclear localization of Tpk1; physically interacts with Tpk1; apoptosis-regulated	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000178536
C2_01120W_A	KAR2	Ca22chr2A_C_albicans_SC5314	180775	182838	W	Similar to Hsp70 family chaperones; role in translocation of proteins into the ER; induced in high iron; protein present in exponential and stationary growth phase yeast cultures; flow model and Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000199653
C2_01120W_B	KAR2	Ca22chr2B_C_albicans_SC5314	180765	182828	W	Similar to Hsp70 family chaperones; role in translocation of proteins into the ER; induced in high iron; protein present in exponential and stationary growth phase yeast cultures; flow model and Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000176028
C2_01130W_A	NOT3	Ca22chr2A_C_albicans_SC5314	183377	185773	W	Transcriptional regulator; not required for buccal epithelial cell adherence or virulence in mouse systemic infection; null mutant colonies exhibit slightly decreased filamentation ratio; required for yeast adherence to silicone substrate	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000179957
C2_01130W_B	NOT3	Ca22chr2B_C_albicans_SC5314	183364	185760	W	Transcriptional regulator; not required for buccal epithelial cell adherence or virulence in mouse systemic infection; null mutant colonies exhibit slightly decreased filamentation ratio; required for yeast adherence to silicone substrate	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000193788
C2_01140C_A		Ca22chr2A_C_albicans_SC5314	186258	185863	C	Ortholog of C. dubliniensis CD36 : Cd36_16030, C. parapsilosis CDC317 : CPAR2_213800, Debaryomyces hansenii CBS767 : DEHA2A01320g and Pichia stipitis Pignal : PICST_29434	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000200254
C2_01140C_B		Ca22chr2B_C_albicans_SC5314	186245	185850	C	Ortholog of C. dubliniensis CD36 : Cd36_16030, C. parapsilosis CDC317 : CPAR2_213800, Debaryomyces hansenii CBS767 : DEHA2A01320g and Pichia stipitis Pignal : PICST_29434	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000189287
C2_01150W_A	PEX12	Ca22chr2A_C_albicans_SC5314	186639	188039	W	Ortholog(s) have ubiquitin-protein transferase activity, role in protein import into peroxisome matrix, protein monoubiquitination and integral component of peroxisomal membrane, peroxisomal importomer complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185265
C2_01150W_B	PEX12	Ca22chr2B_C_albicans_SC5314	186628	188028	W	Ortholog(s) have ubiquitin-protein transferase activity, role in protein import into peroxisome matrix, protein monoubiquitination and integral component of peroxisomal membrane, peroxisomal importomer complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000201879
C2_01160W_A		Ca22chr2A_C_albicans_SC5314	188329	189579	W	Ortholog(s) have S-methyl-5-thioribose-1-phosphate isomerase activity and role in L-methionine salvage from methylthioadenosine	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000191452
C2_01160W_B		Ca22chr2B_C_albicans_SC5314	188318	189568	W	Ortholog(s) have S-methyl-5-thioribose-1-phosphate isomerase activity and role in L-methionine salvage from methylthioadenosine	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000179845
C2_01170C_A		Ca22chr2A_C_albicans_SC5314	192597	189661	C	Ortholog(s) have role in Golgi to vacuole transport, ascospore wall assembly, cellular sphingolipid homeostasis, retrograde transport, endosome to Golgi and GARP complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000193179
C2_01170C_B		Ca22chr2B_C_albicans_SC5314	192584	189648	C	Ortholog(s) have role in Golgi to vacuole transport, ascospore wall assembly, cellular sphingolipid homeostasis, retrograde transport, endosome to Golgi and GARP complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000174630
C2_01180W_A	COX17	Ca22chr2A_C_albicans_SC5314	193352	193537	W	Putative copper metallochaperone; Hap43p-repressed gene; rat catheter biofilm induced; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000195202
C2_01180W_B	COX17	Ca22chr2B_C_albicans_SC5314	193340	193525	W	Putative copper metallochaperone; Hap43p-repressed gene; rat catheter biofilm induced; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186807
C2_01190C_A		Ca22chr2A_C_albicans_SC5314	194592	193702	C	Ortholog of S. cerevisiae : YPL162C, C. glabrata CBS138 : CAGL0M02057g, C. dubliniensis CD36 : Cd36_16070, C. parapsilosis CDC317 : CPAR2_213850 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_112687	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186912
C2_01190C_B		Ca22chr2B_C_albicans_SC5314	194580	193690	C	Ortholog of S. cerevisiae : YPL162C, C. glabrata CBS138 : CAGL0M02057g, C. dubliniensis CD36 : Cd36_16070, C. parapsilosis CDC317 : CPAR2_213850 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_112687	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196394
C2_01200C_A	REG1	Ca22chr2A_C_albicans_SC5314	198389	195354	C	Putative protein phosphatase regulatory subunit; Hap43-repressed gene; macrophage/pseudohyphal-induced; possibly regulated upon hyphal formation; flow model biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198429
C2_01200C_B	REG1	Ca22chr2B_C_albicans_SC5314	198373	195338	C	Putative protein phosphatase regulatory subunit; Hap43-repressed gene; macrophage/pseudohyphal-induced; possibly regulated upon hyphal formation; flow model biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182359
C2_01210C_A	HNM1	Ca22chr2A_C_albicans_SC5314	203062	201446	C	Putative choline/ethanolamine transporter; mutation confers hypersensitivity to toxic ergosterol analog; colony morphology-related gene regulation by Ssn6; clade-associated gene expression	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000200800
C2_01210C_B	HNM1	Ca22chr2B_C_albicans_SC5314	203043	201427	C	Putative choline/ethanolamine transporter; mutation confers hypersensitivity to toxic ergosterol analog; colony morphology-related gene regulation by Ssn6; clade-associated gene expression	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000193125
C2_01220W_A		Ca22chr2A_C_albicans_SC5314	204898	207780	W	Ortholog(s) have structural constituent of nuclear pore activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000193461
C2_01220W_B		Ca22chr2B_C_albicans_SC5314	204884	207766	W	Ortholog(s) have structural constituent of nuclear pore activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198347
C2_01230W_A		Ca22chr2A_C_albicans_SC5314	208012	208767	W	Has domain(s) with predicted L-ascorbic acid binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen and oxidoreductase activity, more	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000190230
C2_01230W_B		Ca22chr2B_C_albicans_SC5314	207998	208753	W	Has domain(s) with predicted L-ascorbic acid binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen and oxidoreductase activity, more	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000177669
C2_01240C_A		Ca22chr2A_C_albicans_SC5314	211288	208760	C	Ortholog(s) have DNA helicase activity and role in DNA-dependent DNA replication maintenance of fidelity, establishment of sister chromatid cohesion, interstrand cross-link repair, mitotic sister chromatid cohesion	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000177726
C2_01240C_B		Ca22chr2B_C_albicans_SC5314	211277	208746	C	Ortholog(s) have DNA helicase activity and role in DNA-dependent DNA replication maintenance of fidelity, establishment of sister chromatid cohesion, interstrand cross-link repair, mitotic sister chromatid cohesion	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000189766
C2_01250W_A		Ca22chr2A_C_albicans_SC5314	211504	212085	W	Protein of unknown function; transcript detected on high-resolution tiling arrays	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000190156
C2_01250W_B		Ca22chr2B_C_albicans_SC5314	211493	212074	W	Protein of unknown function; transcript detected on high-resolution tiling arrays	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000174299
C2_01260W_A		Ca22chr2A_C_albicans_SC5314	212467	214584	W	Ortholog of C. dubliniensis CD36 : Cd36_16140, C. parapsilosis CDC317 : CPAR2_213870, Candida tenuis NRRL Y-1498 : CANTEDRAFT_92202 and Debaryomyces hansenii CBS767 : DEHA2A01980g	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184123
C2_01260W_B		Ca22chr2B_C_albicans_SC5314	212456	214573	W	Ortholog of C. dubliniensis CD36 : Cd36_16140, C. parapsilosis CDC317 : CPAR2_213870, Candida tenuis NRRL Y-1498 : CANTEDRAFT_92202 and Debaryomyces hansenii CBS767 : DEHA2A01980g	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196440
C2_01270W_A	CHA1	Ca22chr2A_C_albicans_SC5314	215536	216597	W	Similar to catabolic ser/thr dehydratases; repressed by Rim101; induced in low iron; regulated on white-opaque switch; filament induced; Tn mutation affects filamentation; flow model biofilm induced; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000177673
C2_01270W_B	CHA1	Ca22chr2B_C_albicans_SC5314	215524	216585	W	Similar to catabolic ser/thr dehydratases; repressed by Rim101; induced in low iron; regulated on white-opaque switch; filament induced; Tn mutation affects filamentation; flow model biofilm induced; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000176882
C2_01280C_A		Ca22chr2A_C_albicans_SC5314	216847	216654	C	Long terminal repeat (LTR); about 194 bp long, 14 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000176954
C2_01280C_B		Ca22chr2B_C_albicans_SC5314	216835	216642	C	Long terminal repeat (LTR); about 194 bp long, 14 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000192542
C2_01290C_A	tL(UAA)1	Ca22chr2A_C_albicans_SC5314	217014	216899	C	tRNA-Leu, predicted by tRNAscan-SE; UAA anticodon	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000194113
C2_01290C_B	tL(UAA)1	Ca22chr2B_C_albicans_SC5314	217002	216887	C	tRNA-Leu, predicted by tRNAscan-SE; UAA anticodon	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000183183
C2_01300C_A	MNN24	Ca22chr2A_C_albicans_SC5314	221418	219289	C	Alpha-1,2-mannosyltransferase; required for normal cell wall mannan content	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000192056
C2_01300C_B	MNN24	Ca22chr2B_C_albicans_SC5314	221405	219276	C	Alpha-1,2-mannosyltransferase; required for normal cell wall mannan content	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175922
C2_01310W_A		Ca22chr2A_C_albicans_SC5314	223575	225620	W	Ortholog(s) have phosphatidylinositol-3-phosphate binding activity, role in retrograde transport, endosome to Golgi and endosome localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000183027
C2_01310W_B		Ca22chr2B_C_albicans_SC5314	223564	225609	W	Ortholog(s) have phosphatidylinositol-3-phosphate binding activity, role in retrograde transport, endosome to Golgi and endosome localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000183093
C2_01320W_A		Ca22chr2A_C_albicans_SC5314	225984	227225	W	Ortholog(s) have structural molecule activity, role in proteasome assembly, ubiquitin-dependent protein catabolic process and nucleus, proteasome regulatory particle, lid subcomplex, proteasome storage granule localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000195275
C2_01320W_B		Ca22chr2B_C_albicans_SC5314	225973	227214	W	Ortholog(s) have structural molecule activity, role in proteasome assembly, ubiquitin-dependent protein catabolic process and nucleus, proteasome regulatory particle, lid subcomplex, proteasome storage granule localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182683
C2_01330C_A	SIR2	Ca22chr2A_C_albicans_SC5314	229101	227542	C	Required for wild-type lifespan, asymmetric inheritance of oxidatively damaged proteins, rDNA silencing; regulates phenotypic switch in strain 3153A, not WO-1; partially complements S. cerevisiae sir2 mating defect; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181323
C2_01330C_B	SIR2	Ca22chr2B_C_albicans_SC5314	229089	227530	C	Required for wild-type lifespan, asymmetric inheritance of oxidatively damaged proteins, rDNA silencing; regulates phenotypic switch in strain 3153A, not WO-1; partially complements S. cerevisiae sir2 mating defect; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175725
C2_01340W_A		Ca22chr2A_C_albicans_SC5314	230474	232207	W	Has domain(s) with predicted integral component of membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181534
C2_01340W_B		Ca22chr2B_C_albicans_SC5314	230463	232196	W	Has domain(s) with predicted integral component of membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000197143
C2_01350C_A	SNX4	Ca22chr2A_C_albicans_SC5314	234412	232520	C	Putative sorting nexin; induced during the mating process	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000187768
C2_01350C_B	SNX4	Ca22chr2B_C_albicans_SC5314	234401	232509	C	Putative sorting nexin; induced during the mating process	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175881
C2_01360C_A	DCW1	Ca22chr2A_C_albicans_SC5314	236363	235005	C	Protein with predicted GPI modification; dfg5 dcw1 double mutant is inviable; not required for wild-type hyphal growth; upregulated in cyr1 mutant (yeast or hyphal form); Hap43-induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000197643
C2_01360C_B	DCW1	Ca22chr2B_C_albicans_SC5314	236354	234996	C	Protein with predicted GPI modification; dfg5 dcw1 double mutant is inviable; not required for wild-type hyphal growth; upregulated in cyr1 mutant (yeast or hyphal form); Hap43-induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000194300
C2_01370C_A		Ca22chr2A_C_albicans_SC5314	239071	237215	C	Ortholog of C. dubliniensis CD36 : Cd36_16230, C. parapsilosis CDC317 : CPAR2_213950, Candida tenuis NRRL Y-1498 : CANTEDRAFT_112720 and Debaryomyces hansenii CBS767 : DEHA2A01848g	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198983
C2_01370C_B		Ca22chr2B_C_albicans_SC5314	239063	237207	C	Ortholog of C. dubliniensis CD36 : Cd36_16230, C. parapsilosis CDC317 : CPAR2_213950, Candida tenuis NRRL Y-1498 : CANTEDRAFT_112720 and Debaryomyces hansenii CBS767 : DEHA2A01848g	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186845
C2_01380W_A	PLB4.5	Ca22chr2A_C_albicans_SC5314	241111	243219	W	Phospholipase B; Hog1-induced; regulated by Ssn6; putative GPI-anchor; repressed during cell wall regeneration; clade-associated gene expression; Hap43-induced; rat catheter and Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000174502
C2_01380W_B	PLB4.5	Ca22chr2B_C_albicans_SC5314	241097	243205	W	Phospholipase B; Hog1-induced; regulated by Ssn6; putative GPI-anchor; repressed during cell wall regeneration; clade-associated gene expression; Hap43-induced; rat catheter and Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000183696
C2_01390W_A		Ca22chr2A_C_albicans_SC5314	243991	245559	W	Ortholog(s) have phosphatidylinositol-4,5-bisphosphate binding activity, role in actin cortical patch assembly, actin filament organization, endocytosis and actin cortical patch localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186455
C2_01390W_B		Ca22chr2B_C_albicans_SC5314	243978	245546	W	Ortholog(s) have phosphatidylinositol-4,5-bisphosphate binding activity, role in actin cortical patch assembly, actin filament organization, endocytosis and actin cortical patch localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198633
C2_01400C_A	ESC4	Ca22chr2A_C_albicans_SC5314	248499	245788	C	Protein similar to S. cerevisiae Esc4; a protein that represses transposition; transposon mutation affects filamentation; rat catheter biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185341
C2_01400C_B	ESC4	Ca22chr2B_C_albicans_SC5314	248486	245775	C	Protein similar to S. cerevisiae Esc4; a protein that represses transposition; transposon mutation affects filamentation; rat catheter biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000201532
C2_01410C_A	CLB2	Ca22chr2A_C_albicans_SC5314	250476	248998	C	B-type mitotic cyclin (cyclin-dependent protein kinase regulatory subunit); essential; required for wild-type mitotic exit; role in cell polarization; interacts with catalytic subunit Cdk1; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000189817
C2_01410C_B	CLB2	Ca22chr2B_C_albicans_SC5314	250463	248985	C	B-type mitotic cyclin (cyclin-dependent protein kinase regulatory subunit); essential; required for wild-type mitotic exit; role in cell polarization; interacts with catalytic subunit Cdk1; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000177902
C2_01420C_A		Ca22chr2A_C_albicans_SC5314	256163	254547	C	Has domain(s) with predicted DNA-binding transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000194943
C2_01420C_B		Ca22chr2B_C_albicans_SC5314	256149	254533	C	Has domain(s) with predicted DNA-binding transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182813
C2_01430W_A	APT1	Ca22chr2A_C_albicans_SC5314	256700	257266	W	Adenine phosphoribosyltransferase; flucytosine induced; repressed by nitric oxide; protein level decreased in stationary phase yeast cultures	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000192887
C2_01430W_B	APT1	Ca22chr2B_C_albicans_SC5314	256686	257252	W	Adenine phosphoribosyltransferase; flucytosine induced; repressed by nitric oxide; protein level decreased in stationary phase yeast cultures	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000180424
C2_01440C_A		Ca22chr2A_C_albicans_SC5314	257812	257408	C	Ortholog(s) have ATP-dependent microtubule motor activity, plus-end-directed activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184450
C2_01440C_B		Ca22chr2B_C_albicans_SC5314	257798	257394	C	Ortholog(s) have ATP-dependent microtubule motor activity, plus-end-directed activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196671
C2_01450C_A		Ca22chr2A_C_albicans_SC5314	258733	258044	C	Protein of unknown function; induced in azole-resistant strain that overexpresses MDR1; protein present in exponential and stationary growth phase yeast cultures; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198765
C2_01450C_B		Ca22chr2B_C_albicans_SC5314	258720	258031	C	Protein of unknown function; induced in azole-resistant strain that overexpresses MDR1; protein present in exponential and stationary growth phase yeast cultures; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000190087
C2_01460C_A		Ca22chr2A_C_albicans_SC5314	260121	259015	C	Ortholog of C. dubliniensis CD36 : Cd36_16320, Candida tropicalis MYA-3404 : CTRG_01238 and Candida albicans WO-1 : CAWG_03918	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000194705
C2_01460C_B		Ca22chr2B_C_albicans_SC5314	260108	259002	C	Ortholog of C. dubliniensis CD36 : Cd36_16320, Candida tropicalis MYA-3404 : CTRG_01238 and Candida albicans WO-1 : CAWG_03918	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000178215
C2_01470W_A	SRB9	Ca22chr2A_C_albicans_SC5314	260750	265747	W	Subunit of the RNA polymerase II mediator complex; transposon mutation affects filamentous growth; suppresses S. cerevisiae diploid filamentous (flo8, ste7, ste12, tec1) or haploid invasive (flo8) mutant growth defects	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184111
C2_01470W_B	SRB9	Ca22chr2B_C_albicans_SC5314	260737	265734	W	Subunit of the RNA polymerase II mediator complex; transposon mutation affects filamentous growth; suppresses S. cerevisiae diploid filamentous (flo8, ste7, ste12, tec1) or haploid invasive (flo8) mutant growth defects	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196258
C2_01480W_A	SPT5	Ca22chr2A_C_albicans_SC5314	265919	268789	W	Protein similar to S. cerevisiae Spt5p transcription elongation factor; transposon mutation affects filamentous growth	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000192268
